what,kind,bundleId,bundleVersion,description,time
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360124375592
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360124376634
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360124377711
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1360124377799
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360124378752
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360124379802
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1360124379947
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360124380843
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360124381924
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360124382969
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360124384012
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360124385057
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360124386100
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360124387143
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1360124388049
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360124388182
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360124389225
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360124390266
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360124391331
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360124392443
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360124393486
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360124394527
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360124395579
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360124396625
