what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360123625871
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360123670181
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1360123670239
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1360123671958
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1360123675155
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1360123677022
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1360123685752
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1360123700701
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1360123702166
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123704508
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123705573
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1360123705669
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123706617
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123707681
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123708727
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123709770
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1360123710805
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123710897
jar,m2e.packaging,org.eclipse.m2e.core,1.0.100,"jar",1360123714021
clean:default-clean:clean,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-clean-plugin:2.4.1",1360123714021
xmlbeans:default:generate-sources,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.codehaus.mojo:xmlbeans-maven-plugin:2.3.3",1360123714021
resources:default-resources:process-resources,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-resources-plugin:2.5",1360123714021
compile:default-compile:compile,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-compiler-plugin:2.0.2",1360123714021
testResources:default-testResources:process-test-resources,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-resources-plugin:2.5",1360123714021
testCompile:default-testCompile:test-compile,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-compiler-plugin:2.0.2",1360123714021
test:default-test:test,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-surefire-plugin:2.4.3",1360123714021
jar:default-jar:package,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-jar-plugin:2.3.1",1360123714021
shade:default:package,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-shade-plugin:1.6",1360123714021
install:default-install:install,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-install-plugin:2.3.1",1360123714021
deploy:default-deploy:deploy,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-deploy-plugin:2.5",1360123714021
site:default-site:site,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-site-plugin:2.0.1",1360123714021
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360123714620
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123715059
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123716112
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123717169
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123718217
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123719323
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123720385
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123721458
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123722504
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123723559
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123724611
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123725671
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123726730
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123727776
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123728832
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123729880
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123730926
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123731970
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123733019
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123734072
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123735123
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123736190
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123737258
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123738306
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123739371
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123740437
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123741594
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123742639
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123743694
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123744751
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123745795
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123746843
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123747956
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123749003
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123750044
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123751088
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123752137
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123753196
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123754241
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123755331
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123756370
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123757509
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123758553
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123759674
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123760739
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123761783
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123762826
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123763909
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123764956
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123766003
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123767063
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123768119
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123769252
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: parcel-components-core",1360123770298
